"","30","40","50","60","70","80","90","100","110","120"
"11","92","91.999539382773","91.961538461538","91","91","91","91","91","91","91"
"12","92","92.446738517475","92.772108462717","92.333021901492","91.043062200957","91","91","91","91","91"
"13","92","92.943402972697","93.201637677066","93.32953431865","93.045039480588","91.664459161148","91","91","91","91"
"14","92","93.013513368916","93.470846223899","93.960312198922","93.803219873809","93.274594594595","92.47855530474","91","91","91"
"15","92","93.016680144923","93.801846601597","94.018502194892","94.228810476826","94.056716379093","93.39489844119","91","91","91"
"16","92","92.832599842717","94","94.084244986484","94.5","94.319049990012","94.103761315164","93.234141309954","91","91"
"17","92","92.43490693009","93.885168151768","94.153642386085","94.5","94.5","94.341035289332","94.019068212482","93.082005701828","91"
"18","92","92.030955585464","93.7046277666","94.187474209055","94.5","94.5","94.5","94.119658374079","93.731343283582","91"
"19","92","92","93.571428571429","94.192302443054","94.5","94.5","94.5","94.196614950635","94.016666666667","91"
"20","92","92","91","91","91","91","91","91","91","91"
